,bMF,bMM,bMJA,bMJB,surv,delay_f,m_growth,delay_j,mean_hatch,diff_hatch,P2,LHSresults
53,0.012626954,0.009113098,0.001334786,0.01729041,2.12E-05,12.685,14.699,15.497,611.8,87.6,0.319,0.02
54,0.016963224,0.006155012,0.004638285,0.014342393,7.48E-05,10.823,11.697,8.657,650.2,225.2,0.875,0.08
55,0.006543849,0.011977778,0.005627027,0.003156196,0.0003428,2.691,5.465,14.319,446.2,234.8,0.101,0.34
56,0.011741179,0.011783384,0.003864243,0.007365727,0.000314,6.377,10.329,9.645,637,326.8,0.961,0.32
57,0.010575307,0.00257044,0.015901014,0.004828889,0.0001308,12.533,15.611,2.197,454.6,74,0.791,0.46
58,0.008276341,0.011899693,0.006883223,0.01087101,0.0002516,8.657,8.581,13.255,403,189.2,0.427,0.2
59,0.013475272,0.006620679,0.010598526,0.005258967,0.0003012,6.871,14.661,15.193,652.6,368.4,0.879,0.25
60,0.018603156,0.010884648,0.005115388,0.014285016,5.96E-05,3.565,9.645,1.551,207.4,199.6,0.043,0.02
61,0.018010542,0.010453462,0.012968322,0.013834259,3.64E-05,10.367,9.607,9.873,590.2,23.6,0.519,0.02
62,0.019703157,0.023716116,0.021362169,0.037460786,0.0003668,12.153,4.933,10.595,539.8,111.6,0.861,0.14
63,0.011897422,0.014683433,0.019595145,0.036978458,0.0003412,1.893,5.351,5.085,298.6,7.6,0.703,0.25
64,0.011506207,0.008648185,0.00348451,0.013077964,3.40E-05,9.455,5.959,1.817,400.6,386,0.477,0.04
65,0.014360055,0.010276818,0.008001236,0.013778909,0.0001916,15.003,1.323,3.261,567.4,58,0.487,0.4
66,0.0218018,0.003954952,0.017758673,0.006932288,0.0001612,18.879,3.565,14.015,100.6,247.6,0.267,0.02
67,0.014162188,0.010524595,0.036323,0.008247904,0.0002356,1.589,5.731,4.363,418.6,64.4,0.881,0.28
68,0.008312952,0.005850505,0.002342929,0.01010616,9.96E-05,4.363,13.559,14.813,566.2,204.4,0.647,0.14
69,0.019532576,0.024486737,0.016899488,0.008906624,0.0002484,15.573,2.881,19.449,355,295.6,0.545,0.02
70,0.017076473,0.007047401,0.005194366,0.005375741,1.88E-05,2.311,5.313,3.147,127,213.2,0.889,0.02
71,0.017712584,0.005505545,0.030156847,0.012308034,0.0001868,3.679,10.595,10.557,561.4,375.6,0.741,0.17
72,0.009280595,0.035028514,0.003355265,0.014170966,0.000158,19.677,19.183,3.299,202.6,357.2,0.927,0.02
73,0.01827719,0.004747515,0.008780873,0.052285312,0.0002572,1.779,5.617,13.939,123.4,153.2,0.935,0.03
74,0.016888668,0.006818129,0.020967001,0.019758875,2.36E-05,6.719,6.681,9.569,639.4,262.8,0.979,0.02
75,0.020378309,0.010488994,0.010019216,0.02011845,0.000118,7.213,17.549,1.133,523,162.8,0.415,0.36
76,0.020249094,0.017333453,0.038753734,0.004750253,0.0001212,2.349,8.087,10.177,187,300.4,0.643,0.02
77,0.016925854,0.022630899,0.00727927,0.014227875,0.0002308,8.125,10.899,3.641,631,92.4,0.329,0.34
78,0.012027505,0.01713979,0.017833013,0.015356464,0.000178,18.689,13.065,17.815,229,284.4,0.255,0.02
79,0.014883115,0.017802585,0.024208957,0.018421673,0.0003252,14.205,3.717,12.001,176.2,390.8,0.423,0.08
80,0.008421174,0.005365133,0.005469966,0.013451208,2.44E-05,19.449,4.363,4.933,466.6,314,0.949,0.06
81,0.016491053,0.0023793,0.008906009,0.023623579,0.0002548,11.773,1.171,16.865,502.6,122.8,0.515,0.18
82,0.013939283,0.018982035,0.013991508,0.001296858,9.64E-05,10.025,11.469,6.909,584.2,240.4,0.365,0.07
83,0.01100546,0.00612141,0.024339708,0.013130711,0.0001988,7.707,12.913,11.811,273.4,354,0.831,0.14
84,0.013746759,0.005187287,0.005940654,0.03114886,5.56E-05,1.551,1.741,13.103,549.4,22,0.801,0.03
85,0.026617552,0.020172617,0.020491464,0.013505312,0.0001124,6.643,14.015,6.833,377.8,117.2,0.987,0.02
86,0.012496265,0.021795976,0.018366365,0.004552875,0.000102,3.717,9.379,3.603,439,321.2,0.311,0.09
87,0.021229371,0.02084162,0.040579992,0.012868816,0.0001908,10.519,6.871,11.621,153.4,85.2,0.925,0.02
88,0.018322731,0.011706376,0.016558022,0.025684061,0.0001036,19.791,14.585,3.565,337,305.2,0.149,0.05
89,0.0085966,0.007275872,0.002191655,0.019937268,8.52E-05,19.145,14.167,9.075,430.6,21.2,0.483,0.1
90,0.017347752,0.010994181,0.009370344,0.02599166,0.0001724,3.983,11.089,16.333,128.2,374.8,0.093,0.02
91,0.010872076,0.008483515,0.016490806,0.019847729,0.0002108,7.555,12.343,19.601,183.4,348.4,0.835,0.05
92,0.013021489,0.018595471,0.031639512,0.01866118,3.96E-05,14.433,11.051,7.821,423.4,212.4,0.615,0.02
93,0.008931647,0.003022821,0.013935845,0.011718232,0.0003868,9.683,1.931,11.735,693.4,11.6,0.151,0.56
94,0.016561865,0.014634172,0.028274288,0.006113462,0.0001244,8.315,4.021,6.871,193,15.6,0.201,0.02
95,0.010383551,0.004933237,0.017321731,0.029706282,0.0003148,17.093,13.787,1.285,164.2,339.6,0.089,0.75
96,0.006354802,0.005816354,0.003822569,0.00720763,0.0001452,11.887,12.495,4.705,542.2,394.8,0.559,0.49
97,0.013260659,0.012578463,0.003654639,0.008329358,0.0002244,7.403,2.501,9.227,405.4,370.8,0.047,0.24
98,0.011322641,0.008025141,0.012608154,0.00642446,6.84E-05,17.739,7.517,7.061,601,377.2,0.299,0.14
99,0.01103204,0.020942023,0.007759045,0.017508454,0.0001516,3.261,17.587,11.925,495.4,126.8,0.543,0.07
100,0.014735559,0.003560057,0.018211595,0.006658366,0.0002628,17.701,10.671,18.119,163,182.8,0.911,0.06
101,0.01260079,0.008319412,0.025018353,0.008045272,0.0002692,7.023,18.613,9.189,374.2,65.2,0.307,0.22
102,0.005760011,0.008221181,0.033381647,0.041773703,8.40E-06,9.341,19.791,10.671,677.8,210.8,0.325,0.03
103,0.011715114,0.016057344,0.00318042,0.023876486,0.0001364,1.095,7.251,18.271,657.4,33.2,0.021,0.08
104,0.025674133,0.01193868,0.004070973,0.005880573,4.40E-06,9.265,10.139,19.069,365.8,398,0.993,0.02
105,0.010161003,0.015399367,0.005979837,0.010327906,0.0001228,4.401,15.041,16.903,303.4,294.8,0.015,0.03
106,0.01920609,0.016764579,0.021262086,0.011055722,0.0001924,14.471,18.803,3.185,371.8,178,0.039,0.17
107,0.014912854,0.009551298,0.007319044,0.004946552,0.0003476,9.303,1.475,8.847,166.6,366.8,0.031,0.24
108,0.016179792,0.011178407,0.005783894,0.014400007,0.0003244,18.575,12.533,9.683,159.4,330,0.913,0.09
109,0.005672407,0.004595952,0.010373693,0.004671446,4.60E-05,3.033,10.481,12.343,614.2,83.6,0.223,0.11
110,0.011085111,0.009348162,0.001873329,0.002712041,1.32E-05,9.151,19.639,18.347,211,178.8,0.905,0.02
111,0.012391917,0.016582634,0.009931554,0.009074049,0.0001396,7.821,3.451,2.349,145,214.8,0.607,0.04
112,0.018748299,0.005918605,0.009327755,0.018186848,0.0001252,9.417,6.795,19.829,340.6,354.8,0.371,0.03
113,0.007142539,0.014984064,0.014794573,0.005220003,0.0002852,4.059,17.511,1.019,356.2,256.4,0.377,0.73
114,0.012313749,0.011215512,0.004275302,0.008411051,0.0001412,5.845,13.027,6.643,406.6,38,0.701,0.13
115,0.009403324,0.007666678,0.006019019,0.018342889,0.0001596,11.013,7.175,3.413,361,306,0.533,0.4
116,0.023975208,0.008188472,0.015647148,0.016726962,0.0001652,11.849,16.105,18.689,609.4,205.2,0.323,0.04
117,0.004398758,0.011860815,0.015275177,0.019324487,0.0001276,6.947,3.907,7.631,305.8,289.2,0.517,0.19
118,0.021307182,0.007796938,0.008614951,0.009843323,7.80E-05,13.407,7.479,2.577,290.2,36.4,0.781,0.02
119,0.00527445,0.026334871,0.002088123,0.007803877,0.0001764,13.635,4.629,15.459,200.2,118.8,0.049,0.03
120,0.010493434,0.008450652,0.050367317,0.009327477,0.000174,2.501,12.001,18.157,593.8,386.8,0.497,0.13
121,0.010978848,0.012660711,0.020398664,0.006191142,3.80E-05,4.097,18.119,17.245,626.2,333.2,0.167,0.02
122,0.00458714,0.004969931,0.013770127,0.010779367,0.00039,15.231,18.309,4.857,695.8,294,0.127,0.83
123,0.01715295,0.009824824,0.008326971,0.020395675,0.000226,16.485,2.159,19.715,309.4,230.8,0.219,0.06
124,0.01068381,0.005435533,0.013880395,0.006775608,0.0002132,14.889,18.423,19.905,368.2,258,0.389,0.13
125,0.009818833,0.009721871,0.011336768,0.007286604,0.0003236,12.875,13.749,16.675,239.8,324.4,0.173,0.15
126,0.009218456,0.00708008,0.013230852,0.016253774,0.0002588,1.513,7.973,15.535,147.4,341.2,0.609,0.13
127,0.011949463,0.008352192,0.0286637,0.00116369,0.0003908,19.905,10.367,2.311,573.4,160.4,0.359,0.73
128,0.010548065,0.013166104,0.023097897,0.008990188,0.0002148,6.605,4.819,17.321,547,292.4,0.271,0.15
129,0.01666928,0.008286651,0.010329038,0.012208211,0.0003332,9.379,8.885,13.559,525.4,268.4,0.539,0.22
130,0.02044412,0.014343392,0.01427311,0.01157406,5.80E-05,7.973,4.135,19.791,627.4,226.8,0.767,0.02
131,0.010328278,0.017076159,0.012406002,0.008698961,0.0002948,19.297,12.723,2.045,533.8,130,0.921,0.48
132,0.01515368,0.016642881,0.029277037,0.002526866,0.000342,7.669,8.999,11.697,691,137.2,0.447,0.24
133,0.011767236,0.013123168,0.004996674,0.010507176,0.000294,12.989,15.003,16.143,681.4,19.6,0.873,0.19
134,0.013911643,0.013921592,0.021064518,0.017582,0.000286,16.105,8.467,8.581,568.6,134.8,0.699,0.25
135,0.008126987,0.012952956,0.027360557,0.017218573,0.0001172,13.597,3.527,16.941,104.2,79.6,0.513,0.02
136,0.01001977,0.004202888,0.008367934,0.009369994,0.0002172,2.843,3.337,7.707,203.8,123.6,0.557,0.21
137,0.018797462,0.006020273,0.018288735,0.003828893,0.0003556,5.579,14.319,9.759,237.4,221.2,0.725,0.15
138,0.012889486,0.004557603,0.004517887,0.019670695,0.0002924,4.439,7.403,1.779,171.4,80.4,0.537,0.45
139,0.009760661,0.044407006,0.014159803,0.00800491,0.0003436,14.965,9.949,18.803,157,384.4,0.687,0.02
140,0.011923444,0.02026479,0.006568177,0.017655989,0.0003796,5.275,11.317,13.445,376.6,50.8,0.849,0.14
141,0.009731439,0.003605567,0.015153432,0.042590812,0.0002812,16.637,5.237,2.995,205,174,0.535,0.49
142,0.01207953,0.007699238,0.012557374,0.014929685,0.0001708,8.391,12.267,13.407,464.2,25.2,0.291,0.13
143,0.007287147,0.015559714,0.015032765,0.01586163,0.00019,13.179,1.627,4.743,597.4,302,0.405,0.42
144,0.007380171,0.009280799,0.00590147,0.013343598,0.000382,17.435,8.543,13.977,556.6,270.8,0.511,0.38
145,0.011610756,0.006850945,0.011102823,0.02905575,0.000186,1.703,11.925,9.721,457,266.8,0.163,0.25
146,0.016597508,0.003276334,0.01583709,0.008166683,0.0003292,13.483,15.763,16.257,242.2,102,0.649,0.1
147,0.020715966,0.012743504,0.006175768,0.002666216,0.000318,19.525,8.353,7.517,585.4,5.2,0.955,0.23
148,0.012679325,0.006981993,0.006686169,0.003705398,0.000326,6.263,4.591,4.173,424.6,371.6,0.313,0.58
149,0.013207318,0.018747955,0.003947252,0.020210118,0.0003932,3.603,12.989,14.889,344.2,298,0.625,0.13
150,0.018142487,0.006322274,0.034038103,0.004907367,0.0002324,14.357,16.067,6.719,185.8,380.4,0.179,0.12
151,0.027512076,0.005540413,0.001053427,0.000485694,0.0003852,18.081,15.459,5.883,484.6,120.4,0.999,0.29
152,0.00912421,0.012056313,0.028864089,0.00177087,0.0002956,13.711,9.759,8.011,537.4,302.8,0.129,0.41
153,0.009187182,0.017598446,0.008408955,0.007445005,0.0001996,9.873,18.005,10.063,387.4,257.2,0.709,0.12
154,0.022868005,0.020452412,0.013337154,0.016935296,0.0003812,15.877,7.099,9.379,422.2,226,0.227,0.15
155,0.032340772,0.013830038,0.023215926,0.021371599,0.0003348,6.491,12.609,13.863,219.4,104.4,0.495,0.02
156,0.006938822,0.012702039,0.015459875,0.009032081,0.000254,12.001,14.813,15.611,658.6,233.2,0.529,0.26
157,0.0104386,0.000529933,0.012058259,0.013723772,0.0001628,4.933,15.497,7.973,302.2,55.6,0.505,0.25
158,0.01105859,0.009859248,0.009242809,0.019583178,0.0001788,19.411,10.557,8.771,134.2,66,0.985,0.03
159,0.013233974,0.032444177,0.007080884,0.015171892,0.000246,6.111,17.207,5.199,581.8,184.4,0.503,0.22
160,0.033970747,0.017398958,0.009073828,0.015294655,0.0001404,18.119,7.669,6.415,536.2,272.4,0.011,0.03
161,0.008011657,0.011515649,0.003268226,0.023376438,0.0001068,16.865,12.305,9.303,605.8,78.8,0.617,0.15
162,0.006776348,0.016950234,0.024079765,0.036081156,0.0002124,2.159,1.817,14.965,139,146,0.695,0.03
163,0.021002943,0.013252448,0.03137668,0.006814737,0.0002508,11.469,10.519,4.401,395.8,50,0.367,0.2
164,0.010952205,0.018225912,0.010284483,0.007524447,4.12E-05,1.133,18.233,6.757,472.6,81.2,0.887,0.02
165,0.010602501,0.019902324,0.009115962,0.021473984,4.68E-05,12.229,17.625,12.495,425.8,93.2,0.501,0.02
166,0.015462659,0.014933339,0.00767868,0.004032635,0.0002212,5.655,8.239,5.541,199,103.6,0.469,0.07
167,0.024739007,0.005400383,0.001703937,0.016658275,0.0001844,10.291,9.569,3.451,353.8,379.6,0.073,0.29
168,0.020313308,0.012135306,0.034741739,0.004473564,0.0001372,5.123,9.493,11.013,287.8,157.2,0.665,0.02
169,0.01681484,0.001335657,0.005233811,0.004789591,0.0002252,9.987,8.961,5.275,616.6,356.4,0.773,0.44
170,0.015214737,0.017464953,0.003780776,0.044479553,0.0002828,10.747,2.121,5.123,367,166.8,0.569,0.25
171,0.01942166,0.00408023,0.004152969,0.016320307,2.68E-05,16.029,2.691,8.315,363.4,334.8,0.071,0.02
172,0.011401419,0.012294713,0.005509255,0.003069174,8.36E-05,3.299,9.835,4.135,551.8,185.2,0.387,0.17
173,0.017629826,0.011030856,0.017393501,0.00018599,0.0002796,1.855,18.043,5.389,651.4,291.6,0.939,0.34
174,0.014503171,0.003650628,0.012812939,0.004868146,2.80E-06,19.069,4.325,18.309,299.8,242,0.585,0.02
175,0.00902864,0.00887986,0.007518454,0.036519309,0.0001884,3.375,7.061,6.263,278.2,237.2,0.915,0.22
176,0.019819851,0.010347276,0.04202977,0.02805626,0.000122,6.529,2.235,1.665,268.6,151.6,0.855,0.06
177,0.010132897,0.002805289,0.007960751,0.03487498,9.32E-05,3.907,12.837,1.247,514.6,296.4,0.117,0.7
178,0.017269196,0.014439427,0.030389277,0.002036671,0.00021,1.741,13.977,8.087,483.4,42,0.135,0.15
179,0.016385988,0.009213601,0.007839588,0.007247098,0.000194,15.193,16.029,15.839,254.2,283.6,0.243,0.04
180,0.017838651,0.018520255,0.023577817,0.009498043,7.64E-05,8.505,4.705,8.467,334.6,142.8,0.733,0.02
181,0.008385361,0.024168547,0.006804336,0.008616375,0.0001564,12.647,16.333,5.503,235,167.6,0.391,0.04
182,0.011217313,0.00854931,0.003527267,0.012560409,7.24E-05,13.141,19.259,8.429,321.4,301.2,0.141,0.02
183,0.009583878,0.032998256,0.004112017,0.014114288,0.0003356,8.885,13.217,15.117,478.6,293.2,0.673,0.11
184,0.012105542,0.006883739,0.006058202,0.027500261,9.48E-05,11.203,18.499,16.751,160.6,44.4,0.499,0.02
185,0.015092972,0.027482783,0.029489952,0.02106991,0.00015,4.857,1.247,13.597,635.8,177.2,0.197,0.04
186,0.011453846,0.015722744,0.007558449,0.00772381,0.000302,18.613,11.013,4.515,562.6,285.2,0.023,0.51
187,0.013180691,0.013559807,0.023455854,0.023254943,0.0002004,8.961,18.993,3.983,633.4,334,0.217,0.42
188,0.006419412,0.003783303,0.069152574,0.004194008,6.20E-05,5.351,13.635,11.849,655,4.4,0.257,0.12
189,0.026117968,0.005223079,0.019945469,0.001601733,6.44E-05,17.397,19.145,8.277,442.6,210,0.199,0.02
190,0.01904952,0.003074999,0.006962208,0.013614129,0.0002708,2.463,5.883,2.007,646.6,323.6,0.727,0.64
191,0.011558508,0.024651287,0.009541503,0.005492371,8.12E-05,7.251,16.713,18.005,116.2,60.4,0.373,0.02
192,0.018508269,0.02535039,0.004396915,0.002892567,0.0002636,5.199,19.297,4.971,238.6,235.6,0.295,0.05
193,0.014560863,0.0143913,0.024606055,0.022440275,0.0001932,15.763,7.137,4.325,381.4,336.4,0.335,0.24
194,0.029740193,0.018298546,0.00295714,0.014457861,0.0002916,14.167,4.857,13.825,315.4,262,0.633,0.03
195,0.019761197,0.005884588,0.005075851,0.014574302,0.0001076,7.745,7.593,11.583,347.8,308.4,0.065,0.04
196,0.022162115,0.002444697,0.003738859,0.020679764,0.000282,10.215,15.117,1.893,621.4,96.4,0.563,0.63
197,0.016316687,0.006752422,0.009975338,0.007964601,8.28E-05,7.099,8.847,6.377,647.8,266,0.953,0.13
198,0.008699174,0.022142532,0.011814319,0.022666937,0.0003844,3.945,2.463,9.113,331,26.8,0.417,0.2
199,0.009494105,0.003373104,0.020034709,0.015233132,0.0002788,3.413,18.385,17.739,617.8,52.4,0.185,0.32
200,0.023704058,0.007992512,0.018842879,0.020776052,0.00017,5.465,14.775,10.519,307,9.2,0.567,0.02
201,0.017796365,0.011591638,0.002866128,0.046859861,0.0001196,17.321,9.987,11.317,461.8,318.8,0.287,0.06
202,0.009311466,0.015832981,0.002293001,0.01114881,0.000398,9.037,4.743,11.165,214.6,57.2,0.181,0.16
203,0.020578269,0.010848299,0.011242819,0.01645442,6.68E-05,1.171,16.219,18.461,130.6,250.8,0.705,0.02
204,0.013966971,0.005952556,0.001463361,0.017880674,5.72E-05,16.827,8.125,17.663,112.6,346.8,0.967,0.02
205,0.019588862,0.023290181,0.000504406,0.012158535,0.0003612,9.797,15.421,15.421,509.8,299.6,0.707,0.1
206,0.018947411,0.011067615,0.011196031,0.024135458,6.52E-05,12.799,16.485,14.357,335.8,206.8,0.851,0.02
207,0.008799923,0.028277389,0.027716436,0.008126157,0.0002084,8.923,17.245,16.181,227.8,359.6,0.527,0.02
208,0.024264511,0.013471148,0.026202643,0.002757577,3.56E-05,13.901,5.047,18.727,598.6,197.2,0.899,0.02
209,0.014303235,0.010206617,0.001817752,0.005414632,0.0002676,10.785,2.843,12.229,512.2,170.8,0.157,0.23
210,0.018699533,0.027237314,0.006293383,0.016522009,0.0003452,17.663,11.849,11.469,427,397.2,0.655,0.1
211,0.015749273,0.002311996,0.031909454,0.011863675,3.24E-05,12.571,7.935,14.433,243.4,362,0.121,0.02
212,0.010520775,0.007829514,0.019423813,0.006697423,0.0002196,14.281,17.473,1.475,428.2,329.2,0.449,0.66
213,0.021152754,0.010667717,0.018681945,0.013397304,0.0001204,19.867,7.289,17.359,653.8,71.6,0.419,0.03
214,0.018998245,0.011477801,0.035902831,0.010150307,0.0002756,1.475,1.855,3.793,592.6,128.4,0.475,0.43
215,0.012261671,0.005986445,0.011526196,0.009158212,0.000346,16.219,13.901,9.151,177.4,365.2,0.383,0.25
